Title,Score,Num_reviews,Age,Pages,Language,Price_tapa_dura,Price_tapa_blanda,Price_Kindle
La foto de los diez mil me gusta: 244 (El Barco de Vapor Roja),4.6,362.0,10 - 12 anos,144.0,Español,,,
Inteligencia emocional (Ensayo),4.4,1824.0,1 ano ou mais,514.0,,,,
No te comas este libro (4You2),4.6,20.0,8 anos ou mais,192.0,Español,0.0,17.28,0.0
Las Ratitas 7. Cupcakes con sorpresa (Jóvenes influencers),4.8,318.0, 7 - 9 anos,144.0,,14.47,0.0,6.64
"Soy más fuerte que la ansiedad: Libro infantil sobre la superación de las preocupaciones, el estrés y el miedo (El mundo de las emociones de los niños) (World of Kids Emotions)",4.5,153.0,2 - 9 anos,,Español,,,
Cien años de soledad (Contemporánea),4.5,13233.0,,0.0,,0.0,0.0,0.0
Yo Voy Conmigo,4.8,931.0, 5 - 9 anos,40.0,,0.0,0.0,0.0
"Mi primer libro de ciencia. El cuerpo (Castellano - A PARTIR DE 3 AÑOS - MANIPULATIVOS (LIBROS PARA TOCAR, JUGAR Y PINTAR), POP-UPS - Otros libros)",4.7,234.0, 3 - 4 anos,12.0,Español,13.5,0.0,0.0
Trolardy 4. Atrapados en la escuela (4You2),4.7,30.0,8 anos ou mais,192.0,,0.0,0.0,6.64
Cumplo 1 Año! (PICARONA),4.6,743.0, 1 ano ou mais,16.0,,4.72,0.0,0.0
One Piece nº 02 (3 en 1) (Manga Shonen),,,9 anos ou mais,568.0,,,,
¿Dónde está Wally? (Colección ¿Dónde está Wally?) (En busca de...),4.8,712.0, 4 - 7 anos,32.0,,,,
Hoy no juegas (EGALITE),4.7,78.0,4 - 8 anos,40.0,Español,,,
"Mi primer libro de ciencia. El espacio (Castellano - A PARTIR DE 3 AÑOS - MANIPULATIVOS (LIBROS PARA TOCAR, JUGAR Y PINTAR), POP-UPS - Otros libros)",4.8,354.0, 3 - 4 anos,12.0,Español,,,
Mi primer Beethoven (Libros con sonido),4.7,590.0, 1 - 2 anos,12.0,Español,,,
Elmer (Álbum ilustrado) [Español],4.8,1671.0, 3 - 4 anos,40.0,,,,
Mis 500 pegatinas. Policía y bomberos,4.6,58.0,3 - 5 anos,32.0,Inglés,,,
La pandilla de la ardilla 17. Una noche en el colegio (El Barco de Vapor Blanca),4.7,1023.0, 6 - 7 anos,64.0,,,,
One Piece nº 04: Luna creciente (Manga Shonen): Luna de tres días,4.8,390.0,9 anos ou mais,208.0,,,,
Amanda Black 4 - La Campana de Jade (Escritura desatada),4.7,333.0,9 - 12 anos,208.0,,,,
Momo (Colección Alfaguara Clásicos),4.8,763.0, 9 anos ou mais,320.0,Español,,,
El chiste del día: Una dosis diaria de humor. Libro de chistes para reírte a carcajadas: 365 chistes para partirse de risa: ¡Un chiste para cada día del año! Alegra tu día,2.9,7.0,5 - 18 anos,143.0,Español,,,
El Libro Negro de las Horas (Autores Españoles e Iberoamericanos),4.3,12095.0,1 ano ou mais,384.0,Castellano,,,
"La amabilidad me hace más fuerte: Libro infantil ilustrado sobre la magia de la amabilidad, la empatía y el respeto (El mundo de las emociones de los niños) (World of Kids Emotions)",4.5,421.0, 3 - 6 anos,,Español,26.12,0.0,0.0
El pez Arcoíris. Libro de cartón - El pez arcoíris (Pequeñas manitas),4.7,33.0,0 - 3 anos,14.0,Español,,,
Amanda Black 7 - El bastón del cuervo (Escritura desatada),4.6,83.0,9 anos ou mais,192.0,,0.0,0.0,4.74
Diario de Greg 16 - El número 1 (Universo Diario de Greg),4.7,480.0, 9 anos ou mais,224.0,,0.0,0.0,6.64
Tú y yo. El cuento más bonito del mundo (ALBUM),4.6,811.0, 3 - 6 anos,48.0,Español,16.36,0.0,0.0
Adivinanzas para leer antes de dormir (Pequeños curiosos),4.6,1033.0, 5 - 7 anos,256.0,Español,0.0,0.0,5.69
Adivinanzas para leer antes de dormir (Pequeños curiosos),4.6,1033.0, 5 - 7 anos,256.0,Español,0.0,0.0,5.69
Super Mario nº 01: Aventuras (Manga Kodomo),4.3,341.0, 6 - 10 anos,192.0,,0.0,7.7,0.0
Busca a las estrellas del fútbol,4.5,15.0,4 anos ou mais,32.0,Español,6.68,0.0,0.0
Los Futbolísimos 3: El misterio del portero fantasma,4.7,1209.0, 7 - 11 anos,312.0,,0.0,5.0,0.0
Spider-Man. Megalibro para colorear 2: Con pegatinas,4.8,9.0,3 anos ou mais,66.0,Español,0.0,7.68,0.0
Naciste para brillar: Inspirador libro infatil para potenciar la autoestima de las niñas. Perfecto para niñas a partir de 6 años. (Libros motivacionales para niños y niñas),4.3,611.0, 6 - 9 anos,104.0,,,,
Aprendo En Casa - Juegos Mentes Rápidas 3+,4.6,31.0,3 anos ou mais,56.0,Español,0.0,3.83,0.0
One Piece nº 03: Difícil de engañar,4.9,497.0,9 anos ou mais,208.0,,0.0,3.6,4.74
Princesas,4.7,83.0, 3 - 7 anos,96.0,Español,3.36,0.0,0.0
Anna Kadabra. Aventuras legendarias 1. El Valle de los Unicornios,4.9,123.0,7 anos ou mais,192.0,Español,0.0,0.0,4.74
Aprendre a llegir a l'Escola de Monstres 1 - Una mascota trapellota: Amb lletra MAJÚSCULA (Llibres per a nens a partir de 5 anys) (Montena),4.7,88.0,4 anos ou mais,48.0,Español,0.0,6.73,3.32
Isadora Moon celebra su cumpleaños (Isadora Moon 3): ¡Un libro mágico con purpurina en cubierta! (Harriet Muncaster),4.8,1090.0,,0.0,,0.0,0.0,3.79
