,Palavra,frequência
2648,custo,269
3684,excia,269
12568,compra,269
4407,direi,269
1236,houve,269
986,provável,269
11485,coelho,268
4456,minas,268
2807,indo,268
3525,carne,267
67548,tv,267
7061,cruz,266
7447,navio,266
6085,comer,266
7720,lista,266
12993,14,266
3062,portas,266
963,observação,265
4663,perguntei,265
890,interessante,265
1289,piano,265
978,acudiu,265
5623,donde,264
13789,caixa,264
9518,perde,264
12991,13,264
463,par,264
3323,querer,264
1199,vaidade,264
11190,vaga,263
1640,confesso,263
10513,17,263
1791,esquecer,263
2416,queres,262
2337,perigo,262
2261,deputados,262
424,gostava,262
2527,adelaide,262
3044,bolso,262
1973,pedra,262
10673,vive,261
5236,versão,261
25889,marques,261
2572,carreira,261
6429,estrelas,261
9,assis,261
1270,passaram,261
32118,governador,261
3120,mortos,261
3913,matar,260
5551,franco,260
161,diferente,260
3687,podemos,260
6420,séculos,260
8804,experiência,260
4635,fome,259
66548,sp,259
1677,ombros,259
16514,instituto,259
17749,peças,259
12625,fase,259
979,pronto,259
990,circunstância,259
4801,21,259
36991,setor,259
1502,gosta,258
1759,sequer,258
18080,constituição,258
134,criatura,258
1420,nisso,258
229,procura,258
2896,termo,258
8945,evitar,258
679,trazer,258
11381,belas,258
3410,mandar,258
2997,beijo,258
993,pouca,257
6088,eterno,257
4332,entusiasmo,257
7431,camilo,257
195,será,256
4816,pagamento,256
5707,criar,256
2533,famílias,256
6204,breve,256
362,inútil,256
7974,missa,256
6947,risco,256
4071,puro,256
1709,estás,255
3364,x,255
1884,andando,255
1232,solução,255
6001,troca,255
12969,7,255
1566,golpe,255
1972,escada,255
2566,conversação,254
2052,sentou,254
580,operação,254
3688,olhe,254
1927,destes,254
6578,faço,253
3019,sabem,253
5870,distância,253
2747,inglaterra,253
4412,conforme,253
16978,resultados,253
4422,grito,253
587,salvo,252
3528,busca,252
2729,união,251
4121,admiração,251
655,visitas,251
4674,aparece,251
77349,cd-rom,250
4803,19,250
1584,meteu,250
5390,azevedo,250
749,fronte,249
8331,seu,249
672,sentar,249
2734,pátria,248
6068,horizonte,248
4578,chegaram,248
2403,novidade,248
3947,noiva,248
1251,destas,248
5978,fatos,248
550,resolveu,247
3207,outrora,247
12891,visão,247
994,prática,247
5543,mistério,247
2069,declaração,247
6274,roda,246
1642,ilusão,246
18291,rita,246
12366,geração,246
2219,império,246
4477,mamãe,246
4108,'.,246
2705,conhecido,245
7560,alemanha,245
4087,cenas,245
1081,ilustre,244
20124,baronesa,244
411,cão,244
10547,possibilidade,244
21165,tradução,244
1602,indiferença,244
2363,aceitou,244
1319,explica,243
3916,?...,243
1803,andava,243
544,dona,243
1924,suspeita,243
4189,relógio,243
2221,calor,242
2272,levava,242
7429,m,242
19869,joana,242
3178,influência,242
18,originalmente,241
2114,tentar,241
2156,á,241
1697,falo,241
11720,fundos,241
10742,portugal,241
16483,mariana,240
4220,murmurou,240
2240,digno,240
695,!...,240
245,renda,240
8120,dança,240
78,gênio,239
8167,cargo,239
2159,deixando,239
2050,ouvindo,239
7609,revolução,239
67627,itamar,239
1374,procurou,239
6579,dê,239
1970,subiu,239
6343,vossa,239
757,rosa,239
2025,juro,238
7238,pão,238
12402,violência,238
3439,dos,238
347,cuidado,238
8195,irmãos,238
7831,efetivamente,238
5257,abre,237
389,profundo,237
2579,aceitar,237
2226,estação,237
4878,!,237
2085,n,237
127,gonçalves,237
5697,haviam,237
35571,antonio,236
12240,militar,236
10861,taxa,236
10232,orçamento,236
312,promessa,235
10522,alberto,235
6017,personagens,235
5154,desespero,234
1456,letra,234
40283,100,234
5170,estando,234
2921,ficam,234
3692,janelas,233
33907,roberto,233
2428,saída,233
66732,1993,233
121,português,233
4978,reforma,233
1674,paciência,233
357,animal,233
1849,encontrou,232
7271,chamado,232
1352,elegante,232
22156,vendas,232
319,quiser,232
6511,eterna,232
6319,decerto,232
10521,certamente,232
21272,flora,231
1638,quisera,231
965,vantagem,231
5300,voto,231
3576,namoro,231
3883,pensa,231
5330,perfeitamente,230
5020,",",230
1222,amado,230
1204,obter,230
4144,vencer,230
10042,partidos,230
2860,esforços,230
5277,servir,230
1357,profunda,229
4103,i,229
1538,ouvidos,229
6593,jamais,229
2063,acrescentou,229
5840,estaria,229
11919,secretário,229
2570,disposto,229
2414,ataque,229
7319,parar,228
3216,trás,228
20440,dólar,228
769,vira,228
15009,artistas,228
4664,passando,228
1520,fui,227
13913,70,227
18927,sociais,227
4061,próprias,227
4913,deixava,227
3293,cólera,227
2603,justo,227
2565,começar,227
1433,ganhar,227
1481,moda,227
758,fizesse,226
7576,popular,226
14364,candidatos,226
6910,capacidade,226
11420,.,226
3862,c,226
18343,reais,226
1104,andrade,226
967,ânimo,226
1955,festas,226
445,maneiras,225
2046,permite,225
5919,muito,225
